feature,importance
Company,42.79046554606736
year,26.86099012233335
month,12.731047500464946
Product,5.163444603903141
Sub-product,4.362796075369167
quarter,3.4154302077920113
State,1.3589269171519118
Issue,1.3272986892129004
Sub-issue,1.1966577645257936
Submitted via,0.7929425731794075
