model,pr_auc,roc_auc,no_skill_pr_auc,positive_prevalence,n,n_positive,threshold,precision,recall,f1,accuracy,tp,fp,tn,fn,flagged,flag_rate,reviews_per_catch
structured (subset),0.25341528673034147,0.9776204386922549,0.004715220338317059,0.004715220338317059,814384,3840,0.6,0.1836161028009236,0.47630208333333335,0.2650532570103616,0.9875451875282422,1829,8132,802412,2011,9961,0.012231330674472976,5.446145434663751
tfidf text,0.06265736845377393,0.8977538612699207,0.004715220338317059,0.004715220338317059,814384,3840,0.6,0.09551255660765748,0.18125,0.12510110541925049,0.9880461796891884,696,6591,803953,3144,7287,0.008947867345134482,10.469827586206897
combined,0.1938945750751474,0.97122748557476,0.004715220338317059,0.004715220338317059,814384,3840,0.6,0.23115773115773117,0.3098958333333333,0.26479750778816197,0.9918858916678127,1190,3958,806586,2650,5148,0.006321342266056308,4.326050420168067
