year,sum,size,availability_pct
2020,174297,444213,39.23725780200039
2021,203570,495939,41.04738687620856
2022,337273,800245,42.146217720822996
2023,487410,1292049,37.72380149669246
2024,814384,2734269,29.784340896963684
2025,1222056,5442974,22.451990400836014
