variant,period,recall,precision,flagged,pr_auc,roc_auc,mean_score
baseline,2024,0.43861462910312743,0.176872166345302,19189,0.2403810907930538,0.9845467966127007,0.025791238993406296
baseline,2025,0.13218226982123224,0.12397357063743651,26183,0.11579032439786674,0.9715317013232051,0.020939037203788757
dropped,2024,0.5467821142414061,0.13090155312171275,32322,0.23210285705514638,0.984467588836226,0.02901362255215645
dropped,2025,0.26864030622633056,0.11621188366480525,56767,0.11707555414762574,0.9715426765244128,0.02577894739806652
capped,2024,0.4922460584130266,0.15634363584123465,24363,0.24038108839608324,0.9845467967785941,0.027951862663030624
capped,2025,0.2189192490939447,0.12592228234136743,42693,0.1157903263318723,0.9715317013382361,0.02474086359143257
