threshold,precision,recall,f1,accuracy,tp,fp,tn,fn,flagged,flag_rate,reviews_per_catch
0.3,0.07117653956443412,0.8628844662703541,0.13150560824051916,0.9677453096238885,6677,87132,2639399,1061,93809,0.03430862142678719,14.04957316159952
0.35,0.07542810704127242,0.839622641509434,0.13842105823825807,0.9704202476054843,6497,79638,2646893,1241,86135,0.0315020211983532,13.257657380329382
0.4,0.08040399913173385,0.813776169552856,0.14634826564406483,0.9731332213472779,6297,72020,2654511,1441,78317,0.028642756071183925,12.437192313800223
0.45,0.0863515419398927,0.7675109847505815,0.15523753512383193,0.9763604093086672,5939,62838,2663693,1799,68777,0.025153706529971995,11.580569119380367
0.5,0.0940987197918806,0.7105195140863272,0.16618807242390352,0.979822760672048,5498,52930,2673601,2240,58428,0.021368782661837588,10.627137140778466
0.55,0.10817071305259937,0.6397001809253037,0.1850501878539786,0.9840546047225054,4950,40811,2685720,2788,45761,0.016736100215450637,9.244646464646465
0.6,0.13716269528167901,0.5616438356164384,0.22048043020571748,0.9887607985900436,4346,27339,2699192,3392,31685,0.011588106364077566,7.290612057063967
0.65,0.17520380754912587,0.48048591367278365,0.25677682240408856,0.9921284262813936,3718,17503,2709028,4020,21221,0.007761123722647626,5.707638515330823
0.7,0.2112408553742262,0.3880847764280176,0.2735720142115332,0.9941673624650683,3003,11213,2715318,4735,14216,0.005199195836254589,4.7339327339327335
0.75,0.2518933499325656,0.31377616955285603,0.2794498474995684,0.9954207139092752,2428,7211,2719320,5310,9639,0.00352525665909243,3.9699341021416803
0.8,0.3145984321845881,0.27487722925820623,0.29339954479619285,0.9962531118920633,2127,4634,2721897,5611,6761,0.002472690141313821,3.1786553831687825
0.85,0.3990252172070354,0.24334453347118118,0.302319980733724,0.9968214539242481,1883,2836,2723695,5855,4719,0.0017258726189705548,2.506107275624004
0.9,0.4648194271481943,0.1929439131558542,0.2726940639269406,0.9970873385171686,1493,1719,2724812,6245,3212,0.0011747198245673706,2.1513730743469526
