year,complaints,untimely,share_pct,untimely_rate_pct
2020,444213,4556,3.962759359336374,1.0256340989570318
2021,495939,6161,4.424199458165164,1.2422898783923022
2022,800245,5115,7.1388688838735845,0.6391792513542728
2023,1292049,5521,11.526180610363053,0.42730577555495186
2024,2734269,7738,24.392014800767445,0.283000685009412
2025,5442974,24557,48.55597688749438,0.451168791179234
Total,11209689,53648,100.0,0.4785859803960663
